hollow_axis_mean,hollow_axis_median,sideslope_mean,sideslope_median,
37.7200826,38.00393868,41.10084796,40.6533289,0.886593449
34.19893424,34.06060982,40.35521567,40.59710884,0.799760214
37.39522171,37.13266373,41.53177608,41.44645691,0.863060991
33.89614123,34.52300263,43.05290556,43.22594452,0.719164529
31.00159073,31.23233223,40.4543725,40.75350571,0.704697228
15.6402874,15.17956018,22.76553541,22.75210094,0.667129002
21.05053,20.83532524,35.00067041,35.78754807,0.549646553
39.18570768,39.18793869,42.19512564,42.41591072,0.899155241
38.21902793,38.16103363,45.00748057,44.29071045,0.787254701
36.71299532,35.99963379,40.52839536,40.51050854,0.872261823
34.86205497,34.11376953,36.36604138,36.70401764,0.946053335
38.73537877,38.68584061,43.7267703,44.12306595,0.838633285
36.99285812,36.93574905,33.44984921,33.44312286,1.140368212
40.09776306,40.23895264,41.3339727,40.98897362,0.957296179
16.20279586,15.06473446,24.28081297,24.68501282,0.644137906
31.64567604,30.82091141,39.23341353,39.24423599,0.754763722
36.43877629,37.17192459,42.34639222,42.10451508,0.810072072
38.47393313,38.4669342,36.51761636,36.31209564,1.07327616
36.95565033,37.11670303,40.3217805,40.61999989,0.886446915
36.87862587,36.39944458,39.3133937,38.5996809,0.916174743
31.52952984,31.17561913,39.6199274,39.86331654,0.741081191
32.95131128,32.85389328,41.7611419,41.84864807,0.725962637
33.31105957,32.21951675,38.37114626,38.13682652,0.829979747
36.91534636,36.94497299,42.24357761,41.77540207,0.827237208
34.80441551,35.09374046,41.72334335,42.2090559,0.779559822
35.08223089,34.5467205,38.14727373,37.83469677,0.894217866
32.18218396,32.0439415,41.91558659,42.11618233,0.700981957
36.55615234,36.03794098,39.9777367,40.37035179,0.884357706
35.61502123,36.03254318,40.10301992,40.37175941,0.850573838
39.05204264,39.1510601,39.96522279,39.68473244,0.968049369
34.67343063,34.46257973,42.42549854,42.33939075,0.756882879
37.32558537,37.5106144,39.71922878,39.71322823,0.917810932
31.92423177,32.02427483,40.40379641,40.56422234,0.73196199
19.25214868,18.8719635,31.91786701,32.1694932,0.56071615
36.45993508,36.35896683,38.98657386,38.8444252,0.912877489
36.07728895,35.29085159,38.35337414,38.69143581,0.920809774
34.21415052,34.33753586,34.54563763,34.19277954,0.987662256
32.42891094,31.71557617,39.28918534,39.86370468,0.776517313
32.13034248,33.40452957,38.85647324,39.02499199,0.779545866
25.56082598,25.41266441,34.27818593,34.59124947,0.701705012
22.20671708,21.20154762,32.52919771,33.16907978,0.640071469
34.91901588,34.74661827,39.19001781,39.20622349,0.856263609
28.74472936,28.31787872,37.67506436,37.66047287,0.710313613
31.77576447,31.88553619,37.27980357,37.45461082,0.813727181
33.62901449,33.7026577,38.9117012,38.48344803,0.823958523
32.95440578,32.44454575,40.77761759,41.06242371,0.751629322
36.23100243,36.03488922,40.92334767,40.75531578,0.845179659
38.2854343,38.23724365,38.00580939,38.55713654,1.010097644
36.23303146,35.7601757,41.27451989,40.91893005,0.834848822
